block_number,timestamp,gas_used,gas_limit,base_fee,transaction_count,priority_fee,mempool_size,gas_price_gwei,priority_p25,priority_p50,priority_p75
24688179,2026-03-19 01:16:47,19017137,30000000,104967267,126,8386173,,0.113353,3e-08,0.008386173,0.057302128
24688180,2026-03-19 01:16:59,10533528,30000000,108481166,70,12596073,,0.121077,0.001,0.012596073,0.1
24688181,2026-03-19 01:17:11,12079402,30000000,104443432,80,15,,0.104443,1.5e-08,1.5e-08,1.8e-06
24688182,2026-03-19 01:17:23,18132277,30000000,101901456,120,7303251,,0.109205,1.5e-08,0.007303251,0.1
24688183,2026-03-19 01:17:35,12391237,30000000,104561319,82,2000000,,0.106561,1.5e-08,0.002,0.026196715
24688184,2026-03-19 01:17:47,18652332,30000000,102288189,124,100000,,0.102388,1.5e-08,0.0001,0.020032512
24688185,2026-03-19 01:17:59,9224190,30000000,105401442,61,7303251,,0.112705,0.001,0.007303251,0.098
24688186,2026-03-19 01:18:11,10144510,30000000,100328287,67,4456680,,0.104785,0.001,0.00445668,0.083143439
24688187,2026-03-19 01:18:23,18614302,30000000,96268763,124,1000000,,0.097269,1.5e-08,0.001,0.050152163
24688188,2026-03-19 01:18:35,4527448,30000000,99168300,30,14185140,,0.113353,0.001,0.01418514,0.093369256
24688189,2026-03-19 01:18:47,16088843,30000000,90513758,107,11552253,,0.102066,0.001395747,0.011552253,0.078231556
24688190,2026-03-19 01:18:59,13973194,30000000,91335052,93,5000000,,0.096335,0.001,0.005,0.019914719
24688191,2026-03-19 01:19:11,9092769,30000000,90553524,60,37315476,,0.127869,0.00575,0.037315476,0.121654496
24688192,2026-03-19 01:19:23,6596245,30000000,86095853,43,50906747,,0.137003,0.008985362,0.050906747,1.0
24688193,2026-03-19 01:19:35,29995086,30000000,80066450,199,15,,0.080066,1.5e-08,1.5e-08,1.7e-08
24688194,2026-03-19 01:19:47,20187576,30000000,90071477,134,2151045,,0.092223,0.001395747,0.002151045,0.079
24688195,2026-03-19 01:19:59,13446084,30000000,93965249,89,1000000,,0.094965,1.5e-08,0.001,0.05
24688196,2026-03-19 01:20:11,11857021,30000000,92748466,79,5000000,,0.097748,0.005,0.005,0.005
24688197,2026-03-19 01:20:23,14970031,30000000,90319246,99,7515900,,0.097835,0.001,0.0075159,0.041231754
24688198,2026-03-19 01:20:35,20057996,30000000,90296690,133,15,,0.090297,1.5e-08,1.5e-08,0.003668574
24688199,2026-03-19 01:20:47,20259041,30000000,94102692,135,10835604,,0.104938,0.001,0.010835604,0.1
24688200,2026-03-19 01:20:59,10004100,30000000,98226775,66,10156338,,0.108383,0.001,0.010156338,0.089
24688201,2026-03-19 01:21:11,12589225,30000000,94137349,83,15,,0.094137,1.5e-08,1.5e-08,0.001
24688202,2026-03-19 01:21:23,15684186,30000000,92246150,104,12278348,,0.104524,0.001395747,0.012278348,0.2
24688203,2026-03-19 01:21:35,9346625,30000000,92772096,62,10000001,,0.102772,0.001,0.010000001,0.05
24688204,2026-03-19 01:21:47,3934223,30000000,88401469,26,61890032,,0.150292,0.003401644,0.061890032,1.0
24688205,2026-03-19 01:21:59,10718554,30000000,80249545,71,38151939,,0.118401,0.00625795,0.038151939,1.046
24688206,2026-03-19 01:22:11,21681527,30000000,77386345,144,2942483,,0.080329,0.001,0.002942483,0.022613655
24688207,2026-03-19 01:22:23,15643841,30000000,81695169,104,28967303,,0.110662,0.001,0.028967303,0.119979609
24688208,2026-03-19 01:22:35,29997349,30000000,82133491,199,1000000,,0.083133,3e-08,0.001,0.01153077
24688209,2026-03-19 01:22:47,27041634,30000000,92398363,180,15,,0.092398,1.5e-08,1.5e-08,0.001
24688210,2026-03-19 01:22:59,10946117,30000000,101670257,72,10000001,,0.11167,0.001395747,0.010000001,0.124890319
24688211,2026-03-19 01:23:11,20625704,30000000,98235596,137,1000000,,0.099236,0.001,0.001,0.012000001
24688212,2026-03-19 01:23:23,13810617,30000000,102840966,92,10000001,,0.112841,0.001,0.010000001,0.097990021
24688213,2026-03-19 01:23:35,3565266,30000000,101821656,23,277804584,,0.379626,0.02376873,0.277804584,1.673
24688214,2026-03-19 01:23:47,29998726,30000000,92119127,199,1000000,,0.093119,1.5e-08,0.001,0.01083409
24688215,2026-03-19 01:23:59,13762210,30000000,103633040,91,8204259,,0.111837,0.001625159,0.008204259,0.160320719
24688216,2026-03-19 01:24:11,12888225,30000000,102564075,85,10256424,,0.11282,0.001395747,0.010256424,0.1
24688217,2026-03-19 01:24:23,10474356,30000000,100759140,69,4140865,,0.1049,0.001,0.004140865,0.1
24688218,2026-03-19 01:24:35,6463682,30000000,96959141,43,24246865,,0.121206,0.001625159,0.024246865,0.245727345
24688219,2026-03-19 01:24:47,29993209,30000000,90061858,199,1000000,,0.091062,1.5e-08,0.001,0.012820511
24688220,2026-03-19 01:24:59,15832415,30000000,101314493,105,1000000,,0.102314,1.5e-08,0.001,0.057673874
24688221,2026-03-19 01:25:11,6792571,30000000,102017290,45,81055672,,0.183073,0.009428668,0.081055672,2.89798271
24688222,2026-03-19 01:25:23,6735078,30000000,95039793,44,50455106,,0.145495,0.0,0.050455106,0.5
24688223,2026-03-19 01:25:35,5693155,30000000,88493990,37,10256424,,0.09875,0.0,0.010256424,0.91150601
24688224,2026-03-19 01:25:47,28347471,30000000,81630659,188,12896679,,0.094527,0.001,0.012896679,0.056655162
24688225,2026-03-19 01:25:59,17317085,30000000,90710350,115,1000000,,0.09171,0.0001,0.001,0.02
24688226,2026-03-19 01:26:11,7355755,30000000,92461880,49,9576462,,0.102038,0.0,0.009576462,0.216683911
24688227,2026-03-19 01:26:23,28771229,30000000,86571870,191,2216965,,0.088789,0.001,0.002216965,0.029005498
24688228,2026-03-19 01:26:35,18035388,30000000,96506878,120,22,,0.096507,1.5e-08,2.2e-08,0.003274507
24688229,2026-03-19 01:26:47,16642546,30000000,98948010,110,4199381,,0.103147,1.5e-08,0.004199381,0.047248058
24688230,2026-03-19 01:26:59,5135215,30000000,100302399,34,200000000,,0.300302,0.092711387,0.2,2.0
24688231,2026-03-19 01:27:11,22966633,30000000,92056886,153,8657187,,0.100714,0.001395747,0.008657187,0.018275777
24688232,2026-03-19 01:27:23,9210036,30000000,98168414,61,11046828,,0.109215,0.001000015,0.011046828,0.25
24688233,2026-03-19 01:27:35,3872333,30000000,93431818,25,11507112,,0.104939,0.001395747,0.011507112,0.019568182
24688234,2026-03-19 01:27:47,20578384,30000000,84767834,137,11046828,,0.095815,0.001,0.011046828,0.079
24688235,2026-03-19 01:27:59,12436418,30000000,88708397,82,10000000,,0.098708,0.001,0.01,0.0948
24688236,2026-03-19 01:28:11,2547884,30000000,86813304,16,1000000000,,1.086813,0.082722394,1.0,2.100000001
24688237,2026-03-19 01:28:23,29998585,30000000,77804893,199,15,,0.077805,1.5e-08,1.5e-08,0.001
24688238,2026-03-19 01:28:35,19663508,30000000,87529587,131,9726548,,0.097256,0.001,0.009726548,0.1269
24688239,2026-03-19 01:28:47,16487456,30000000,90931211,109,1000000,,0.091931,0.001,0.001,0.007748025
24688240,2026-03-19 01:28:59,22590921,30000000,92058346,150,4546560,,0.096605,0.001,0.00454656,0.012887966
24688241,2026-03-19 01:29:11,15414304,30000000,97881743,102,10000001,,0.107882,0.001,0.010000001,0.02357335
24688242,2026-03-19 01:29:23,8723611,30000000,98219683,58,3052772,,0.101272,0.001,0.003052772,0.048602954
24688243,2026-03-19 01:29:35,4382276,30000000,93082476,29,200000000,,0.293082,0.012277462,0.2,2.0
24688244,2026-03-19 01:29:47,29997753,30000000,84846443,199,1000000,,0.085846,0.0001,0.001,0.013576746
24688245,2026-03-19 01:29:59,14020171,30000000,95450660,93,10000001,,0.105451,0.001395747,0.010000001,0.1
24688246,2026-03-19 01:30:11,14902645,30000000,94671283,99,1000000,,0.095671,1.5e-08,0.001,0.040127858
24688247,2026-03-19 01:30:23,22810740,30000000,94594478,152,100000,,0.094694,1.5e-08,0.0001,0.011931334
24688248,2026-03-19 01:30:35,7403892,30000000,100751585,49,27571180,,0.128323,0.01288817,0.02757118,1.0
24688249,2026-03-19 01:30:47,11732971,30000000,94373919,78,79000000,,0.173374,0.012090192,0.079,0.350000005
24688250,2026-03-19 01:30:59,29955578,30000000,91804567,199,1000000,,0.092805,0.0001,0.001,0.012090192
24688251,2026-03-19 01:31:11,14485039,30000000,103246153,96,1000000,,0.104246,1.5e-07,0.001,0.019726688
24688252,2026-03-19 01:31:23,15625263,30000000,102803089,104,1395747,,0.104199,0.001,0.001395747,0.031416929
24688253,2026-03-19 01:31:35,10559631,30000000,103338747,70,1625159,,0.104964,1.8e-06,0.001625159,0.040127858
24688254,2026-03-19 01:31:47,14163543,30000000,99514897,94,1395747,,0.100911,0.001,0.001395747,0.029658555
24688255,2026-03-19 01:31:59,15162264,30000000,98821231,101,14178769,,0.113,0.001625159,0.014178769,0.2
24688256,2026-03-19 01:32:11,26535325,30000000,98954857,176,150,,0.098955,1.5e-08,1.5e-07,0.001625159
24688257,2026-03-19 01:32:23,13974330,30000000,108467161,93,12352655,,0.12082,0.001395747,0.012352655,0.090562663
24688258,2026-03-19 01:32:35,15357108,30000000,107540066,102,12369359,,0.119909,0.001,0.012369359,0.035772394
24688259,2026-03-19 01:32:47,19597274,30000000,107860095,130,3943136,,0.111803,1.5e-08,0.003943136,0.062907467
24688260,2026-03-19 01:32:59,10165085,30000000,111992282,67,10000000,,0.121992,0.001,0.01,0.13058963
24688261,2026-03-19 01:33:11,2351193,30000000,107480006,15,1000000000,,1.10748,0.089,1.0,2.0
24688262,2026-03-19 01:33:23,9708473,30000000,96150892,64,13482513,,0.109633,0.001,0.013482513,0.114438066
24688263,2026-03-19 01:33:35,20738698,30000000,91911017,138,10000001,,0.101911,0.0003,0.010000001,0.047891088
24688264,2026-03-19 01:33:47,19228707,30000000,96306430,128,15,,0.096306,1.5e-08,1.5e-08,3e-08
24688265,2026-03-19 01:33:59,20195104,30000000,99700194,134,9630659,,0.109331,0.001,0.009630659,0.018945927
24688266,2026-03-19 01:34:11,11689101,30000000,104016468,77,5653761,,0.10967,0.001,0.005653761,0.1
24688267,2026-03-19 01:34:23,17847139,30000000,101146569,118,1625159,,0.102772,0.001,0.001625159,0.05
24688268,2026-03-19 01:34:35,15213716,30000000,103546388,101,1000000,,0.104546,1e-09,0.001,0.05
24688269,2026-03-19 01:34:47,15046890,30000000,103730801,100,1395747,,0.105127,1.5e-08,0.001395747,0.016039036
24688270,2026-03-19 01:34:59,8549413,30000000,103771334,56,5000000,,0.108771,0.001,0.005,0.05
24688271,2026-03-19 01:35:11,13991863,30000000,98193118,93,12867544,,0.111061,0.001,0.012867544,0.047029882
24688272,2026-03-19 01:35:23,15358722,30000000,97368185,102,11783175,,0.109151,0.001,0.011783175,0.040101815
24688273,2026-03-19 01:35:35,15953889,30000000,97659252,106,1395747,,0.099055,1.5e-08,0.001395747,0.028919408
24688274,2026-03-19 01:35:47,13280581,30000000,98435553,88,15175129,,0.113611,0.001,0.015175129,0.124725217
24688275,2026-03-19 01:35:59,12761864,30000000,97025120,85,1395747,,0.098421,0.0001,0.001395747,0.049184835
24688276,2026-03-19 01:36:11,18299645,30000000,95215492,121,1000000,,0.096215,1.5e-08,0.001,0.079
24688277,2026-03-19 01:36:23,5924681,30000000,97833636,39,123561781,,0.221395,0.006903421,0.123561781,2.0
24688278,2026-03-19 01:36:35,29998047,30000000,90434708,199,1395747,,0.09183,1.5e-08,0.001395747,0.020093879
24688279,2026-03-19 01:36:47,4703015,30000000,101737574,31,100000000,,0.201738,0.01,0.1,2.684474213
24688280,2026-03-19 01:36:59,16538320,30000000,93007656,110,15,,0.093008,1.5e-08,1.5e-08,0.005
24688281,2026-03-19 01:37:11,20114817,30000000,94199952,134,13747038,,0.107947,0.001,0.013747038,0.1
24688282,2026-03-19 01:37:23,26001241,30000000,98215081,173,1000000,,0.099215,0.0001,0.001,0.011303996
24688283,2026-03-19 01:37:35,6170878,30000000,107219146,41,79613618,,0.186833,0.010721931,0.079613618,0.402044145
24688284,2026-03-19 01:37:47,18135152,30000000,99330389,120,5000000,,0.10433,0.001,0.005,0.05
24688285,2026-03-19 01:37:59,8815816,30000000,101925521,58,13931369,,0.115857,0.001395747,0.013931369,0.160736819
24688286,2026-03-19 01:38:11,12048834,30000000,96672803,80,1542293,,0.098215,1.6e-08,0.001542293,0.037677197
24688287,2026-03-19 01:38:23,10190363,30000000,94295325,67,16496445,,0.110792,0.001000015,0.016496445,0.089
24688288,2026-03-19 01:38:35,9530887,30000000,90515940,63,13208935,,0.103725,0.002482446,0.013208935,0.05
24688289,2026-03-19 01:38:47,7526957,30000000,86390591,50,43047203,,0.129438,0.004125364,0.043047203,0.913609409
24688290,2026-03-19 01:38:59,29889159,30000000,81010586,199,1000000,,0.082011,6.075e-06,0.001,0.011314494
24688291,2026-03-19 01:39:11,4858646,30000000,91062081,32,100000000,,0.191062,0.0,0.1,1.0
24688292,2026-03-19 01:39:23,19373932,30000000,83366309,129,16,,0.083366,1.5e-08,1.6e-08,0.008639076
24688293,2026-03-19 01:39:35,29996051,30000000,86404964,199,4657132,,0.091062,1.8e-06,0.004657132,0.032157209
24688294,2026-03-19 01:39:47,7799237,30000000,97202741,51,29837268,,0.12704,0.006947187,0.029837268,0.079
24688295,2026-03-19 01:39:59,29037172,30000000,91369959,193,1800,,0.091372,1.5e-08,1.8e-06,0.001395747
24688296,2026-03-19 01:40:11,13148967,30000000,102058091,87,9136995,,0.111195,0.000250457,0.009136995,0.1
24688297,2026-03-19 01:40:23,10208417,30000000,100483818,68,32191719,,0.132676,0.005588558,0.032191719,0.149512708
24688298,2026-03-19 01:40:35,19051985,30000000,96471514,127,11341484,,0.107813,0.000731242,0.011341484,0.031101118
24688299,2026-03-19 01:40:47,16298532,30000000,99729023,108,10239239,,0.109968,0.001,0.010239239,0.1
24688300,2026-03-19 01:40:59,15970859,30000000,100808201,106,9688117,,0.110496,3e-08,0.009688117,0.050511961
24688301,2026-03-19 01:41:11,16128431,30000000,101623789,107,1000000,,0.102624,1.8e-06,0.001,0.039508211
24688302,2026-03-19 01:41:23,12830843,30000000,102579418,85,12702975,,0.115282,0.005,0.012702975,0.099037014
24688303,2026-03-19 01:41:35,26639063,30000000,100725161,177,3000000,,0.103725,1.8e-06,0.003,0.032628101
24688304,2026-03-19 01:41:47,11069062,30000000,110494715,73,3000000,,0.113495,0.001,0.003,0.014918273
24688305,2026-03-19 01:41:59,10536736,30000000,106875150,70,4500000,,0.111375,0.003,0.0045,0.04781785
24688306,2026-03-19 01:42:11,26831844,30000000,102900050,178,1395747,,0.104296,3e-08,0.001395747,0.013811841
24688307,2026-03-19 01:42:23,18347462,30000000,113045861,122,9412556,,0.122458,0.001,0.009412556,0.058311374
24688308,2026-03-19 01:42:35,11427537,30000000,116199334,76,8151146,,0.12435,0.001395747,0.008151146,0.092610045
24688309,2026-03-19 01:42:47,10036294,30000000,112740020,66,49938980,,0.162679,0.005783315,0.04993898,0.86176885
24688310,2026-03-19 01:42:59,15214477,30000000,108076618,101,5000000,,0.113077,3e-08,0.005,0.049759382
24688311,2026-03-19 01:43:11,4826432,30000000,108269785,32,349323944,,0.457594,0.038319133,0.349323944,2.100000001
24688312,2026-03-19 01:43:23,28823154,30000000,99090702,192,726679,,0.099817,1.5e-08,0.000726679,0.010000001
24688313,2026-03-19 01:43:35,10241623,30000000,110505252,68,32428150,,0.142933,0.003962809,0.03242815,0.1
24688314,2026-03-19 01:43:47,3029349,30000000,106123372,20,89000000,,0.195123,0.032384622,0.089,2.0
24688315,2026-03-19 01:43:59,19662168,30000000,95536991,131,12386339,,0.107923,0.0001,0.012386339,0.043190009
24688316,2026-03-19 01:44:11,10783647,30000000,99248737,71,22307056,,0.121556,0.005841969,0.022307056,0.1
24688317,2026-03-19 01:44:23,6659141,30000000,95761507,44,53036009,,0.148798,0.001,0.053036009,1.624672604
24688318,2026-03-19 01:44:35,13849228,30000000,89105398,92,25101743,,0.114207,4.05e-06,0.025101743,0.03
24688319,2026-03-19 01:44:47,1181248,30000000,88250899,7,1500000000,,1.588251,1.0,1.5,2.0
24688320,2026-03-19 01:44:59,29991955,30000000,78088255,199,17448751,,0.095537,0.002,0.017448751,0.1
24688321,2026-03-19 01:45:11,10835536,30000000,87844052,72,1000000,,0.088844,0.001,0.001,0.079
24688322,2026-03-19 01:45:23,26226141,30000000,84795524,174,10000000,,0.094796,0.001,0.01,0.032336881
24688323,2026-03-19 01:45:35,23398500,30000000,92728244,155,6075,,0.092734,1.5e-08,6.075e-06,0.01337518
24688324,2026-03-19 01:45:47,6183268,30000000,99218062,41,6776361,,0.105994,0.001,0.006776361,0.030601938
24688325,2026-03-19 01:45:59,4241970,30000000,91928237,28,29627556,,0.121556,0.00728984,0.029627556,0.094486806
24688326,2026-03-19 01:46:11,24214701,30000000,83686848,161,10000000,,0.093687,2.7e-06,0.01,0.05
24688327,2026-03-19 01:46:23,13460601,30000000,90113092,89,1815160,,0.091928,0.000364212,0.00181516,0.018806853
24688328,2026-03-19 01:46:35,29998882,30000000,88957093,199,15,,0.088957,1.5e-08,1.5e-08,0.014917545
24688329,2026-03-19 01:46:47,11255255,30000000,100075900,75,14099968,,0.114176,0.002889025,0.014099968,0.080150314
24688330,2026-03-19 01:46:59,16807543,30000000,96952912,112,8131633,,0.105085,0.001,0.008131633,0.080961304
24688331,2026-03-19 01:47:11,12042006,30000000,98413300,80,8539612,,0.106953,0.001,0.008539612,0.295425957
24688332,2026-03-19 01:47:23,13892198,30000000,95987418,92,10000000,,0.105987,0.001,0.01,0.046595005
24688333,2026-03-19 01:47:35,23348476,30000000,95101293,155,6809355,,0.101911,4.05e-06,0.006809355,0.011518491
24688334,2026-03-19 01:47:47,5589147,30000000,101717550,37,79000000,,0.180718,0.001,0.079,1.0
24688335,2026-03-19 01:47:59,5644510,30000000,93740476,37,106743121,,0.200484,0.011887663,0.106743121,2.0
24688336,2026-03-19 01:48:11,11534894,30000000,86432243,76,44804757,,0.131237,0.01,0.044804757,1.035628817
24688337,2026-03-19 01:48:23,9487143,30000000,83936437,63,79000000,,0.162936,0.01,0.079,0.4515
24688338,2026-03-19 01:48:35,18603647,30000000,80080358,124,12254177,,0.092335,0.001,0.012254177,0.05
24688339,2026-03-19 01:48:47,29820426,30000000,82485202,198,1000015,,0.083485,1.5e-08,0.001000015,0.03708147
24688340,2026-03-19 01:48:59,19469990,30000000,92672417,129,2700,,0.092675,1.5e-08,2.7e-06,0.001395747
24688341,2026-03-19 01:49:11,8176900,30000000,96124457,54,12254177,,0.108379,0.001395747,0.012254177,0.48
24688342,2026-03-19 01:49:23,13752703,30000000,90658901,91,2013531,,0.092672,0.001,0.002013531,0.060284314
24688343,2026-03-19 01:49:35,10337700,30000000,89716580,68,11584054,,0.101301,0.010000001,0.011584054,0.065075157
24688344,2026-03-19 01:49:47,29867225,30000000,86230867,199,15,,0.086231,1.5e-08,1.5e-08,0.00332416
24688345,2026-03-19 01:49:59,5803099,30000000,96914314,38,13310004,,0.110224,0.011211252,0.013310004,1.0
24688346,2026-03-19 01:50:11,14579408,30000000,89486720,97,10000000,,0.099487,0.001395747,0.01,0.031656191
24688347,2026-03-19 01:50:23,7916753,30000000,89173076,52,48798284,,0.137971,0.011499499,0.048798284,1.028
24688348,2026-03-19 01:50:35,29995993,30000000,83909452,199,2700,,0.083912,1.5e-08,2.7e-06,0.01
24688349,2026-03-19 01:50:47,10212526,30000000,94395331,68,10000000,,0.104395,0.003,0.01,0.084578139
24688350,2026-03-19 01:50:59,17521723,30000000,90629372,116,1000000,,0.091629,1.5e-08,0.001,0.009095435
24688351,2026-03-19 01:51:11,7424737,30000000,92533890,49,39619110,,0.132153,0.003,0.03961911,0.5
24688352,2026-03-19 01:51:23,13418803,30000000,86692486,89,10000002,,0.096692,0.001,0.010000002,1.0
24688353,2026-03-19 01:51:35,13267698,30000000,85550171,88,10000000,,0.09555,0.003,0.01,0.031936931
24688354,2026-03-19 01:51:47,29991921,30000000,84315182,199,7593,,0.084323,1.5e-08,7.593e-06,0.010266022
24688355,2026-03-19 01:51:59,6818025,30000000,94848903,45,10000001,,0.104849,0.001,0.010000001,0.20313684
24688356,2026-03-19 01:52:11,29818772,30000000,88381809,198,23,,0.088382,1.5e-08,2.3e-08,0.01
24688357,2026-03-19 01:52:23,5992955,30000000,99296057,39,54848546,,0.154145,0.010000001,0.054848546,0.5
24688358,2026-03-19 01:52:35,11133448,30000000,91843024,74,2359385,,0.094202,0.001,0.002359385,0.089
24688359,2026-03-19 01:52:47,26307786,30000000,88883727,175,1000000,,0.089884,1.5e-08,0.001,0.026415853
24688360,2026-03-19 01:52:59,6897078,30000000,97259378,45,300000,,0.097559,1.5e-08,0.0003,0.027177622
24688361,2026-03-19 01:53:11,25651391,30000000,90692003,171,4500000,,0.095192,0.000582208,0.0045,0.016255331
24688362,2026-03-19 01:53:23,13495526,30000000,98741969,89,11336502,,0.110078,0.01,0.011336502,0.1
24688363,2026-03-19 01:53:35,11545001,30000000,97504013,76,6175070,,0.103679,2.3e-08,0.00617507,0.050171484
24688364,2026-03-19 01:53:47,13218808,30000000,94696711,88,5000000,,0.099697,0.0001,0.005,0.079
24688365,2026-03-19 01:53:59,4654863,30000000,93291103,31,25079805,,0.118371,0.006894276,0.025079805,0.094
24688366,2026-03-19 01:54:11,14928090,30000000,85248526,99,10000000,,0.095249,0.001395747,0.01,0.079
24688367,2026-03-19 01:54:23,19268456,30000000,85197442,128,8575961,,0.093773,0.000139586,0.008575961,0.1
24688368,2026-03-19 01:54:35,29172543,30000000,88227955,194,15,,0.088228,1.5e-08,1.5e-08,0.00882282
24688369,2026-03-19 01:54:47,3575310,30000000,98648076,23,1000000,,0.099648,2.2e-08,0.001,0.010291153
24688370,2026-03-19 01:54:59,19867893,30000000,89256213,132,10000000,,0.099256,0.001,0.01,0.048850787
24688371,2026-03-19 01:55:11,10314679,30000000,92876960,68,9359988,,0.102237,0.001,0.009359988,0.5
24688372,2026-03-19 01:55:23,16388769,30000000,89250641,109,4750000,,0.094001,1.6e-08,0.00475,0.081246441
24688373,2026-03-19 01:55:35,13296617,30000000,90283545,88,1395747,,0.091679,0.001,0.001395747,0.007892176
24688374,2026-03-19 01:55:47,22782211,30000000,89001983,151,16,,0.089002,1.5e-08,1.6e-08,0.027629956
24688375,2026-03-19 01:55:59,7796212,30000000,94773918,51,11285445,,0.106059,0.001,0.011285445,0.1
24688376,2026-03-19 01:56:11,11484507,30000000,89084492,76,15215508,,0.1043,0.011125249,0.015215508,0.1
24688377,2026-03-19 01:56:23,5412063,30000000,86474694,36,10000001,,0.096475,0.004264081,0.010000001,0.038243306
24688378,2026-03-19 01:56:35,29994205,30000000,79565412,199,1395747,,0.080961,1.5e-08,0.001395747,0.018610309
24688379,2026-03-19 01:56:47,21035746,30000000,89507246,140,5000000,,0.094507,0.000606015,0.005,0.1
24688380,2026-03-19 01:56:59,12222447,30000000,94009271,81,1000000,,0.095009,1.5e-08,0.001,0.027879211
24688381,2026-03-19 01:57:11,6520993,30000000,91833307,43,11188407,,0.103022,0.001,0.011188407,0.079
24688382,2026-03-19 01:57:23,29998723,30000000,85344514,199,1000000,,0.086345,1.5e-08,0.001,0.01
24688383,2026-03-19 01:57:35,6585551,30000000,96011670,43,1000000,,0.097012,1.5e-08,0.001,0.05
24688384,2026-03-19 01:57:47,16564421,30000000,89279293,110,3520428,,0.0928,1.5e-08,0.003520428,0.025512359
24688385,2026-03-19 01:57:59,8313430,30000000,90443213,55,1000000,,0.091443,1.5e-08,0.001,0.042947833
