block_number,timestamp,gas_used,gas_limit,base_fee,transaction_count,priority_fee,mempool_size,gas_price_gwei
24685198,2026-03-18 15:14:47,49839463,60000000,517139058,633,472266108,,0.989405
24685199,2026-03-18 15:14:59,10185179,60000000,559888063,137,1244609080,,1.804497
24685200,2026-03-18 15:15:11,16805863,60000000,513662723,200,2293717303,,2.80738
24685201,2026-03-18 15:15:23,53568434,60000000,485423822,560,507505160,,0.992929
24685202,2026-03-18 15:15:35,40163311,60000000,533093319,442,683205826,,1.216299
24685203,2026-03-18 15:15:47,25384161,60000000,555668290,262,705270709,,1.260939
24685204,2026-03-18 15:15:59,40162180,60000000,544981310,467,530776820,,1.075758
24685205,2026-03-18 15:16:11,25604313,60000000,568057135,269,686146298,,1.254203
24685206,2026-03-18 15:16:23,31763713,60000000,557652963,394,440240399,,0.997893
24685207,2026-03-18 15:16:35,28372664,60000000,561751045,264,913013234,,1.474764
24685208,2026-03-18 15:16:47,25207281,60000000,557942055,264,736593628,,1.294536
24685209,2026-03-18 15:16:59,17427322,60000000,546800141,190,1032293665,,1.579094
24685210,2026-03-18 15:17:11,35647284,59941408,518155383,389,454702095,,0.972857
24685211,2026-03-18 15:17:23,12228895,59999943,530422989,172,493864275,,1.024287
24685212,2026-03-18 15:17:35,51531152,60000000,491147171,419,649257240,,1.140404
24685213,2026-03-18 15:17:47,14945308,60000000,535209522,202,885306517,,1.420516
24685214,2026-03-18 15:17:59,28380472,60000000,501636962,350,669470607,,1.171108
24685215,2026-03-18 15:18:11,24369869,60000000,498251900,318,915193054,,1.413445
24685216,2026-03-18 15:18:23,46116871,60000000,486563469,786,349605797,,0.836169
24685217,2026-03-18 15:18:35,27618023,59941408,519237971,270,784498496,,1.303736
24685219,2026-03-18 15:18:59,19749046,60000000,515751679,229,710464496,,1.226216
24685220,2026-03-18 15:19:11,10464012,60000000,493722735,66,848723634,,1.342446
24685221,2026-03-18 15:19:23,16353483,60000000,453533730,275,1558174456,,2.011708
24685222,2026-03-18 15:19:35,55300016,60000000,427745582,842,460638133,,0.888384
24685223,2026-03-18 15:19:47,31532252,60000000,472837123,267,963537940,,1.436375
24685224,2026-03-18 15:19:59,29154001,60000000,475855896,302,1419664314,,1.89552
24685225,2026-03-18 15:20:11,12152700,60000000,474178506,170,2060778211,,2.534957
24685226,2026-03-18 15:20:23,45174242,60000000,438916815,392,596334205,,1.035251
24685227,2026-03-18 15:20:35,12731887,59941408,466667773,172,768556163,,1.235224
24685228,2026-03-18 15:20:47,37290303,59999943,433115007,827,427721881,,0.860837
24685229,2026-03-18 15:20:59,41811610,60000000,446271487,443,438967944,,0.885239
24685230,2026-03-18 15:21:11,13692116,60000000,468234756,69,2042926035,,2.511161
24685231,2026-03-18 15:21:23,41635475,60000000,436418431,431,541170726,,0.977589
24685232,2026-03-18 15:21:35,32245084,60000000,457576496,326,892573134,,1.35015
24685233,2026-03-18 15:21:47,32983523,60000000,461856902,308,773568383,,1.235425
24685234,2026-03-18 15:21:59,11322434,60000000,467598404,117,815923028,,1.283521
24685235,2026-03-18 15:22:11,33916367,60000000,431208404,382,576601707,,1.00781
24685236,2026-03-18 15:22:23,14456831,60000000,438244947,77,1076682943,,1.514928
24685237,2026-03-18 15:22:35,45097007,60000000,409862801,494,759466412,,1.169329
24685238,2026-03-18 15:22:47,33492729,60000000,435644890,303,700692560,,1.136337
24685239,2026-03-18 15:22:59,36723436,60000000,441984846,335,884572801,,1.326558
24685240,2026-03-18 15:23:11,29304499,60000000,454366749,277,948979396,,1.403346
24685241,2026-03-18 15:23:23,31380806,60000000,453050031,273,1003902784,,1.456953
24685242,2026-03-18 15:23:35,37003461,60000000,455656590,267,725976913,,1.181634
24685243,2026-03-18 15:23:47,27060621,59941408,468953144,230,642610899,,1.111564
24685244,2026-03-18 15:23:59,23038728,59882873,463261367,184,635726909,,1.098988
24685245,2026-03-18 15:24:11,10844604,59824395,449911315,149,605596716,,1.055508
24685246,2026-03-18 15:24:23,8128491,59882816,414061701,123,1503997436,,1.918059
24685247,2026-03-18 15:24:35,57647645,59941294,376355168,471,704739530,,1.081095
24685248,2026-03-18 15:24:47,37297695,59999829,419799263,484,397248170,,0.817047
24685249,2026-03-18 15:24:59,24804978,60000000,432564312,296,993429978,,1.425994
24685250,2026-03-18 15:25:11,27256544,60000000,423201058,254,835285656,,1.258487
24685251,2026-03-18 15:25:23,36551005,59941408,418363419,451,412989727,,0.831353
24685252,2026-03-18 15:25:35,21332992,59999943,429845286,244,845670732,,1.275516
24685253,2026-03-18 15:25:47,30534953,60000000,414322521,267,828312164,,1.242635
24685254,2026-03-18 15:25:59,23801982,60000000,415246033,235,1055717629,,1.470964
24685255,2026-03-18 15:26:11,24167598,60000000,404522274,265,948760619,,1.353283
24685256,2026-03-18 15:26:23,22373325,60000000,394691706,300,584591708,,0.979283
24685257,2026-03-18 15:26:35,31768268,60000000,382149267,369,547611681,,0.929761
24685258,2026-03-18 15:26:47,12762697,60000000,384964860,224,646508913,,1.031474
24685259,2026-03-18 15:26:59,16789877,60000000,357315877,385,458463331,,0.815779
24685260,2026-03-18 15:27:11,59984083,60000000,337648433,776,463151648,,0.8008
24685261,2026-03-18 15:27:23,29382077,60000000,379832093,281,642785514,,1.022618
24685262,2026-03-18 15:27:35,35378492,60000000,378854148,408,535144738,,0.913999
24685263,2026-03-18 15:27:47,18202086,60000000,387344414,218,433415236,,0.82076
24685264,2026-03-18 15:27:59,50008460,60000000,368303347,460,754000308,,1.122304
24685265,2026-03-18 15:28:11,15366246,60000000,399008275,199,907701238,,1.30671
24685266,2026-03-18 15:28:23,44414457,60000000,374679155,417,668989876,,1.043669
24685267,2026-03-18 15:28:35,7882000,60000000,397182474,122,902304800,,1.299487
24685268,2026-03-18 15:28:47,49606600,60000000,360578800,392,761942257,,1.122521
24685269,2026-03-18 15:28:59,27614543,59941408,390035984,307,733661838,,1.123698
24685270,2026-03-18 15:29:11,21908093,59999943,386203127,248,866305006,,1.252508
24685271,2026-03-18 15:29:23,37959872,60000000,373181829,321,679545879,,1.052728
24685272,2026-03-18 15:29:35,31577614,60000000,385558827,308,823901859,,1.209461
24685273,2026-03-18 15:29:47,28595049,60000000,388093256,288,652193152,,1.040286
24685274,2026-03-18 15:29:59,6685939,60000000,385821373,93,1715729403,,2.101551
24685275,2026-03-18 15:30:11,33723254,60000000,348341944,509,666218606,,1.014561
24685276,2026-03-18 15:30:23,59408512,60000000,353745967,591,326045618,,0.679792
24685277,2026-03-18 15:30:35,27175933,60000000,397092394,333,619562182,,1.016655
24685278,2026-03-18 15:30:47,24956666,60000000,392419830,330,734469951,,1.12689
24685279,2026-03-18 15:30:59,38932536,60000000,384173563,352,670534209,,1.054708
24685280,2026-03-18 15:31:11,16500772,60000000,398472080,239,591119738,,0.989592
24685281,2026-03-18 15:31:23,41690866,60000000,376059308,488,613460154,,0.989519
24685282,2026-03-18 15:31:35,29931870,59941408,394377887,336,779393880,,1.173772
24685283,2026-03-18 15:31:47,44784314,59999943,394314011,266,599615004,,0.993929
24685284,2026-03-18 15:31:59,27790239,60000000,418604341,280,755680615,,1.174285
24685285,2026-03-18 15:32:11,11749085,60000000,414750110,126,1937823887,,2.352574
24685286,2026-03-18 15:32:23,13977379,59941408,383210240,192,1384632678,,1.767843
24685287,2026-03-18 15:32:35,14315206,59999943,357648587,113,1463661844,,1.82131
24685288,2026-03-18 15:32:47,59043755,59941351,334275090,593,659384565,,0.99366
24685289,2026-03-18 15:32:59,15973760,59999886,374808071,153,1881335524,,2.256144
24685290,2026-03-18 15:33:11,59576025,60000000,352903336,505,475060971,,0.827964
24685291,2026-03-18 15:33:23,28020786,60000000,396392827,211,1009560066,,1.405953
24685292,2026-03-18 15:33:35,29369934,60000000,393123885,413,557074824,,0.950199
24685293,2026-03-18 15:33:47,19707838,60000000,392091827,314,648344681,,1.040437
24685294,2026-03-18 15:33:59,28468728,60000000,375277358,264,903341447,,1.278619
24685295,2026-03-18 15:34:11,23084333,59941408,372882976,287,650968534,,1.023852
24685296,2026-03-18 15:34:23,13044412,59999943,362173308,156,607412250,,0.969586
24685297,2026-03-18 15:34:35,35423991,60000000,336586405,418,719655078,,1.056241
24685298,2026-03-18 15:34:47,23438026,60000000,344193245,191,1062985236,,1.407178
24685299,2026-03-18 15:34:59,23225907,60000000,334782466,252,760033692,,1.094816
24685300,2026-03-18 15:35:11,43216540,60000000,325333102,413,536621089,,0.861954
24685301,2026-03-18 15:35:23,18379301,59941408,343248843,172,1261629635,,1.604878
24685302,2026-03-18 15:35:35,30546059,59882873,326654573,290,647172979,,0.973828
24685303,2026-03-18 15:35:47,17877321,59941351,327479111,347,506911738,,0.834391
24685304,2026-03-18 15:35:59,38614271,59999886,310961629,369,2431518309,,2.74248
24685305,2026-03-18 15:36:11,24390700,60000000,322123006,250,745297909,,1.067421
24685306,2026-03-18 15:36:23,21702897,60000000,314594321,294,744351058,,1.058945
24685307,2026-03-18 15:36:35,34096445,60000000,303718399,313,588611622,,0.89233
24685308,2026-03-18 15:36:47,31070039,60000000,308902422,449,343823082,,0.652726
24685309,2026-03-18 15:36:59,22456648,60000000,310279662,266,731326106,,1.041606
24685310,2026-03-18 15:37:11,23546373,60000000,300527376,241,870980973,,1.171508
24685311,2026-03-18 15:37:23,40848682,60000000,292446162,384,419574476,,0.712021
24685312,2026-03-18 15:37:35,33090234,60000000,305665559,213,477385913,,0.783051
24685313,2026-03-18 15:37:47,20811021,60000000,309601301,353,433985735,,0.743587
24685314,2026-03-18 15:37:59,22518715,60000000,297747469,250,745838655,,1.043586
24685315,2026-03-18 15:38:11,30791271,60000000,288466079,339,811485913,,1.099952
24685316,2026-03-18 15:38:23,23555548,60000000,289417140,321,1277819041,,1.567236
24685317,2026-03-18 15:38:35,42615073,60000000,281645745,398,627363060,,0.909009
24685318,2026-03-18 15:38:47,11649101,59941408,296449835,101,1413740457,,1.71019
24685319,2026-03-18 15:38:59,51674719,59999943,273796730,607,486710960,,0.760508
24685320,2026-03-18 15:39:11,27255045,60000000,298523733,304,689863489,,0.988387
24685321,2026-03-18 15:39:23,33391927,60000000,295109424,314,532373582,,0.827483
24685322,2026-03-18 15:39:35,27063661,60000000,299280214,384,361741781,,0.661022
24685323,2026-03-18 15:39:47,40673133,60000000,295618597,388,513325968,,0.808945
24685324,2026-03-18 15:39:59,24946938,60000000,308765166,254,536634416,,0.8454
24685325,2026-03-18 15:40:11,31440354,60000000,302264293,258,805378216,,1.107643
24685326,2026-03-18 15:40:23,33097017,60000000,304078324,404,826388075,,1.130466
24685327,2026-03-18 15:40:35,24070800,60000000,308002222,247,865556937,,1.173559
24685328,2026-03-18 15:40:47,4839717,60000000,300393028,56,3092481092,,3.392874
24685329,2026-03-18 15:40:59,48889872,60000000,268901472,621,375363193,,0.644265
24685330,2026-03-18 15:41:11,29779506,59941408,290066115,412,508774238,,0.79884
24685331,2026-03-18 15:41:23,22493395,59999943,289834806,326,509566657,,0.799401
24685332,2026-03-18 15:41:35,29311305,60000000,280769519,331,590377287,,0.871147
24685333,2026-03-18 15:41:47,28856113,60000000,279963834,255,1355471925,,1.635436
24685334,2026-03-18 15:41:59,22086957,60000000,278629472,234,912190943,,1.19082
24685335,2026-03-18 15:42:11,49992480,60000000,269442777,493,704256344,,0.973699
24685336,2026-03-18 15:42:23,8369865,60000000,291887899,114,458054516,,0.749942
24685337,2026-03-18 15:42:35,24285393,60000000,265581338,97,888075643,,1.153657
24685338,2026-03-18 15:42:47,53517865,59941408,259257618,576,427071217,,0.686329
24685339,2026-03-18 15:42:59,23895314,59999943,284719068,273,1481838029,,1.766557
24685340,2026-03-18 15:43:11,45035791,60000000,277476927,522,451709383,,0.729186
24685341,2026-03-18 15:43:23,19198971,60000000,294860614,286,708317468,,1.003178
24685342,2026-03-18 15:43:35,33871719,60000000,281590623,308,606749041,,0.88834
24685343,2026-03-18 15:43:47,9247597,60000000,286133288,86,612422576,,0.898556
24685344,2026-03-18 15:43:59,31253744,60000000,261391816,373,583551506,,0.844943
24685345,2026-03-18 15:44:11,23877908,59941408,262757309,290,890629003,,1.153386
24685346,2026-03-18 15:44:35,55209599,59882873,256080261,524,875108162,,1.131188
24685347,2026-03-18 15:44:47,37873671,59824395,283094153,365,697556415,,0.980651
24685348,2026-03-18 15:44:59,24721802,59882816,292512747,291,977584943,,1.270098
24685349,2026-03-18 15:45:11,32386154,59941294,286138626,349,728097964,,1.014237
24685350,2026-03-18 15:45:23,26876697,59999829,289021320,263,710477727,,0.999499
24685351,2026-03-18 15:45:35,29697996,60000000,285260158,356,602802407,,0.888063
24685352,2026-03-18 15:45:47,29371474,60000000,284901201,294,674433134,,0.959334
24685353,2026-03-18 15:45:59,18984024,60000000,284155086,210,948242953,,1.232398
24685354,2026-03-18 15:46:11,26902092,60000000,271112396,265,921465614,,1.192578
24685355,2026-03-18 15:46:23,26681952,60000000,267612891,306,748881359,,1.016494
24685356,2026-03-18 15:46:35,21773863,60000000,263913090,110,753819884,,1.017733
24685357,2026-03-18 15:46:47,12223217,60000000,254867319,158,924006063,,1.178873
24685358,2026-03-18 15:46:59,59097710,60000000,235989315,671,411834389,,0.647824
24685359,2026-03-18 15:47:11,17558222,60000000,264600767,132,1046872010,,1.311473
24685360,2026-03-18 15:47:23,59787054,60000000,250883667,490,563274189,,0.814158
24685361,2026-03-18 15:47:35,11329788,60000000,282021522,109,1246011560,,1.528033
24685362,2026-03-18 15:47:47,9727600,60000000,260082349,119,1338850750,,1.598933
24685363,2026-03-18 15:47:59,25784726,60000000,238113627,313,537115328,,0.775229
24685364,2026-03-18 15:48:11,47792569,59941408,233931485,464,837340864,,1.071272
24685365,2026-03-18 15:48:35,21050587,59999943,251319695,212,680008929,,0.931329
24685366,2026-03-18 15:48:47,13407237,59941351,241948201,108,2522216838,,2.764165
24685367,2026-03-18 15:48:59,50222268,59999886,225233972,383,861389512,,1.086623
24685368,2026-03-18 15:49:11,59891886,60000000,244212152,484,400669383,,0.644882
24685369,2026-03-18 15:49:23,31917378,60000000,274628659,357,710302578,,0.984931
24685370,2026-03-18 15:49:35,29321811,60000000,276822687,328,684217387,,0.96104
24685371,2026-03-18 15:49:47,17388398,60000000,276040445,216,622816815,,0.898857
24685372,2026-03-18 15:49:59,24670781,60000000,261534978,323,501668380,,0.763203
24685373,2026-03-18 15:50:11,12947045,60000000,255727574,215,988242806,,1.24397
24685374,2026-03-18 15:50:23,55014617,60000000,237557113,832,325673096,,0.56323
24685375,2026-03-18 15:50:35,20508182,60000000,262317113,293,594977315,,0.857294
24685376,2026-03-18 15:50:47,28882803,60000000,251942671,293,801414293,,1.053357
24685377,2026-03-18 15:50:59,23398982,60000000,250769882,258,970790935,,1.221561
24685378,2026-03-18 15:51:11,26737706,60000000,243872647,254,916662491,,1.160535
24685379,2026-03-18 15:51:23,23897443,60000000,240557713,346,737896789,,0.978455
24685380,2026-03-18 15:51:35,38125891,60000000,234440975,780,200754183,,0.435195
24685381,2026-03-18 15:51:47,28466263,60000000,242378649,283,527246268,,0.769625
24685382,2026-03-18 15:51:59,7320188,60000000,240829712,111,720597196,,0.961427
24685383,2026-03-18 15:52:11,38201405,60000000,218071493,388,851701828,,1.069773
24685384,2026-03-18 15:52:23,54287981,60000000,225523545,1044,231155262,,0.456679
24685385,2026-03-18 15:52:35,15979091,59941408,248346509,195,928825847,,1.177172
24685386,2026-03-18 15:52:47,9888442,59999943,233854156,129,552366311,,0.78622
24685387,2026-03-18 15:52:59,41552871,60000000,214257618,671,335211961,,0.54947
24685388,2026-03-18 15:53:11,27458040,60000000,224571328,323,775134023,,0.999705
24685389,2026-03-18 15:53:23,29330870,60000000,222192781,340,753694020,,0.975887
24685390,2026-03-18 15:53:35,16217129,60000000,221573299,237,746094308,,0.967668
24685391,2026-03-18 15:53:47,19162639,60000000,208848649,224,917312127,,1.126161
24685392,2026-03-18 15:53:59,15740122,60000000,199417949,131,562081737,,0.7615
24685393,2026-03-18 15:54:11,53007754,60000000,187569301,486,549091985,,0.736661
24685394,2026-03-18 15:54:23,12519529,60000000,205550752,91,1211649836,,1.417201
24685395,2026-03-18 15:54:35,59931637,60000000,190579403,800,287675991,,0.478255
24685396,2026-03-18 15:54:47,24779962,60000000,214347542,290,675562255,,0.88991
24685397,2026-03-18 15:54:59,22828392,60000000,209685450,295,497799353,,0.707485
24685398,2026-03-18 15:55:11,18905660,60000000,203419693,342,1050818269,,1.254238
24685399,2026-03-18 15:55:23,48037145,60000000,194016330,367,616131925,,0.810148
24685400,2026-03-18 15:55:35,9620349,60000000,208597582,100,787148756,,0.995746
24685401,2026-03-18 15:55:47,28910203,59941408,190884474,280,862726077,,1.053611
24685402,2026-03-18 15:55:59,41162792,59999943,190040178,656,266017737,,0.456058
24685403,2026-03-18 15:56:11,38142680,60000000,198879288,437,527767832,,0.726647
24685404,2026-03-18 15:56:23,27372739,60000000,205626831,304,794276458,,0.999903
24685405,2026-03-18 15:56:35,27716302,60000000,203375851,229,717350058,,0.920726
24685406,2026-03-18 15:56:47,37101565,60000000,201440647,315,555023468,,0.756464
24685407,2026-03-18 15:56:59,21467352,60000000,207401246,245,606986555,,0.814388
24685408,2026-03-18 15:57:11,17672038,60000000,200027572,366,436445694,,0.636473
24685409,2026-03-18 15:57:23,1856061,60000000,189752855,4,359217,,0.190112
24685410,2026-03-18 15:57:35,32797644,60000000,167501219,255,1170452681,,1.337954
24685411,2026-03-18 15:57:47,39009522,60000000,169453755,1030,122335307,,0.291789
24685412,2026-03-18 15:57:59,23069266,60000000,175814993,212,1163626612,,1.339442
24685413,2026-03-18 15:58:11,59983637,60000000,170737798,813,312631282,,0.483369
24685414,2026-03-18 15:58:23,26684052,60000000,192068381,382,413213725,,0.605282
24685415,2026-03-18 15:58:35,38616568,60000000,189414678,332,379850189,,0.569265
24685416,2026-03-18 15:58:47,38867088,60000000,196215113,304,659254391,,0.85547
24685417,2026-03-18 15:58:59,25594672,60000000,203464515,233,684754670,,0.888219
24685418,2026-03-18 15:59:11,18597840,60000000,199729816,245,577852019,,0.777582
24685419,2026-03-18 15:59:23,25501325,59941408,190240853,325,508191866,,0.698433
24685420,2026-03-18 15:59:35,31646960,59882873,186694647,221,433913182,,0.620608
24685421,2026-03-18 15:59:47,25671475,59941351,188023959,302,546665044,,0.734689
24685422,2026-03-18 15:59:59,41341777,59999886,184652528,828,216041397,,0.400694
24685423,2026-03-18 16:00:11,25104724,60000000,193378787,246,527195059,,0.720574
24685424,2026-03-18 16:00:23,58718674,60000000,189434444,789,409570865,,0.599005
24685425,2026-03-18 16:00:35,37624049,60000000,212102385,304,709163249,,0.921266
24685426,2026-03-18 16:00:47,54893125,60000000,218840214,446,429152705,,0.647993
24685427,2026-03-18 16:00:59,38829901,60000000,241538617,454,516918956,,0.758458
24685428,2026-03-18 16:01:11,35278207,59941408,250425125,284,1703353563,,1.953779
24685429,2026-03-18 16:01:23,35803987,59882873,255968588,381,567999600,,0.823968
24685430,2026-03-18 16:01:35,9002941,59824395,262233438,108,1734758023,,1.996991
24685431,2026-03-18 16:01:47,51879613,59882816,239320101,752,322145577,,0.561466
24685432,2026-03-18 16:01:59,25484754,59941294,261238965,240,572194284,,0.833433
24685433,2026-03-18 16:02:11,33475658,59999829,256351308,284,1000245713,,1.256597
24685434,2026-03-18 16:02:23,19636390,59941237,260063866,183,994721819,,1.254786
24685435,2026-03-18 16:02:35,40299539,59882702,248854725,407,618637184,,0.867492
24685436,2026-03-18 16:02:47,11687977,59941180,259616113,122,1156440445,,1.416057
24685437,2026-03-18 16:02:59,32525842,59999715,239819786,412,446372233,,0.686192
24685438,2026-03-18 16:03:11,10403134,60000000,242343886,148,1069194097,,1.311538
24685439,2026-03-18 16:03:23,50599118,59941408,222555634,456,1198474582,,1.42103
24685440,2026-03-18 16:03:35,39975390,59999943,241703373,631,1200478058,,1.442181
24685441,2026-03-18 16:03:47,25627190,60000000,251749601,260,803118931,,1.054869
24685442,2026-03-18 16:03:59,34514319,60000000,247162713,256,781605929,,1.028769
24685443,2026-03-18 16:04:11,27830310,60000000,251811760,278,667163455,,0.918975
24685444,2026-03-18 16:04:23,11492491,60000000,249535288,171,1265665026,,1.5152
24685445,2026-03-18 16:04:35,38296684,60000000,230292469,570,427588053,,0.657881
24685446,2026-03-18 16:04:47,18016763,60000000,238253568,209,1069351714,,1.307605
24685447,2026-03-18 16:04:59,1925843,60000000,226357531,4,1344369,,0.227702
24685448,2026-03-18 16:05:11,40205409,60000000,199879211,531,988484899,,1.188364
24685449,2026-03-18 16:05:23,32397260,60000000,208378582,200,993017398,,1.201396
24685450,2026-03-18 16:05:35,1854873,60000000,210459988,4,6171832,,0.216632
24685451,2026-03-18 16:05:47,59935961,59941408,185779059,570,635319160,,0.821098
24685452,2026-03-18 16:05:59,46981299,59999943,208997220,791,198306136,,0.407303
24685453,2026-03-18 16:06:11,46857481,60000000,223784944,932,249186223,,0.472971
24685454,2026-03-18 16:06:23,33156023,60000000,239503487,407,506715003,,0.746218
24685455,2026-03-18 16:06:35,44693370,60000000,242652980,462,481941342,,0.724594
24685456,2026-03-18 16:06:47,34001270,59941408,257508771,419,584967025,,0.842476
24685457,2026-03-18 16:06:59,28331616,59999943,261837606,323,550812787,,0.81265
24685458,2026-03-18 16:07:11,35685576,60000000,260017446,445,680493737,,0.940511
24685459,2026-03-18 16:07:23,30842936,59941408,266177233,330,487211617,,0.753389
24685460,2026-03-18 16:07:35,35477115,59999943,267145546,468,579032445,,0.846178
24685461,2026-03-18 16:07:47,40717784,60000000,273242196,464,382354598,,0.655597
24685462,2026-03-18 16:07:59,14288629,60000000,285444491,173,1038792573,,1.324237
24685463,2026-03-18 16:08:11,35242907,60000000,266758140,560,374506807,,0.641265
24685464,2026-03-18 16:08:23,33794393,59941408,272585590,286,699080511,,0.971666
24685465,2026-03-18 16:08:35,59994687,59999943,276932678,535,382413638,,0.659346
24685466,2026-03-18 16:08:47,30823919,60000000,311543199,331,651509224,,0.963052
24685467,2026-03-18 16:08:59,29381520,60000000,312612725,326,548902909,,0.861516
24685468,2026-03-18 16:09:11,37194114,60000000,311807123,364,526720238,,0.838527
24685469,2026-03-18 16:09:23,43341492,60000000,321153689,481,438006328,,0.75916
24685470,2026-03-18 16:09:35,21608993,60000000,339006478,451,389514807,,0.728521
24685471,2026-03-18 16:09:47,13860084,60000000,327153955,220,315265252,,0.642419
24685472,2026-03-18 16:09:59,12945457,60000000,305152967,104,1156268235,,1.461421
24685473,2026-03-18 16:10:11,59745559,60000000,283468616,1159,229946800,,0.513415
24685474,2026-03-18 16:10:23,38979097,60000000,318601667,548,572253377,,0.890855
24685475,2026-03-18 16:10:35,36421787,60000000,330521480,456,594883663,,0.925405
24685476,2026-03-18 16:10:47,2561608,60000000,339365390,61,2164497998,,2.503863
24685477,2026-03-18 16:10:59,59948236,60000000,300566888,433,782365615,,1.082933
24685478,2026-03-18 16:11:11,31094720,60000000,338072921,421,508357188,,0.84643
24685479,2026-03-18 16:11:23,13938917,60000000,339614984,103,886185253,,1.2258
24685480,2026-03-18 16:11:35,27615431,60000000,316887549,354,720575609,,1.037463
24685481,2026-03-18 16:11:47,42083774,60000000,313739049,588,327153986,,0.640893
24685482,2026-03-18 16:11:59,32298158,59941408,329535514,354,465286627,,0.794822
24685483,2026-03-18 16:12:11,32496805,59999943,332734382,305,787576652,,1.120311
24685484,2026-03-18 16:12:23,35948577,60000000,336195979,487,320918128,,0.657114
24685485,2026-03-18 16:12:35,25194014,60000000,344528844,286,770238625,,1.114767
24685486,2026-03-18 16:12:47,22157774,60000000,337629674,409,444130205,,0.78176
24685487,2026-03-18 16:12:59,19544664,60000000,326597307,134,1115493923,,1.442091
24685488,2026-03-18 16:13:11,46059459,60000000,312369455,626,336683442,,0.649053
24685489,2026-03-18 16:13:23,43846397,60000000,333271473,554,519218614,,0.85249
24685490,2026-03-18 16:13:35,28707461,60000000,352499011,303,754453770,,1.106953
24685491,2026-03-18 16:13:47,27074759,60000000,350600600,357,609712660,,0.960313
24685492,2026-03-18 16:13:59,14307738,60000000,346327304,75,2333341085,,2.679668
24685493,2026-03-18 16:14:11,32413586,60000000,323682893,498,751107653,,1.074791
24685494,2026-03-18 16:14:23,32387496,59941408,326938045,553,369963642,,0.696902
24685495,2026-03-18 16:14:35,33297749,59999943,330233518,350,819084842,,1.149318
24685496,2026-03-18 16:14:47,28686454,60000000,334771175,307,724879339,,1.059651
24685497,2026-03-18 16:14:59,15148725,60000000,332938937,185,1145754255,,1.478693
24685498,2026-03-18 16:15:11,12092814,60000000,312336572,190,893062495,,1.205399
24685499,2026-03-18 16:15:23,27298318,59941408,289032118,275,846186746,,1.135219
24685500,2026-03-18 16:15:35,59975917,59999943,285810617,556,296985850,,0.582796
24685501,2026-03-18 16:15:47,29144991,60000000,321508333,329,501642762,,0.823151
24685502,2026-03-18 16:15:59,17636894,60000000,320362948,157,962241814,,1.282605
24685503,2026-03-18 16:16:11,32567453,60000000,303860111,609,314684683,,0.618545
24685504,2026-03-18 16:16:23,32296592,60000000,307110721,405,728853905,,1.035965
24685505,2026-03-18 16:16:35,18699851,60000000,310049504,182,1083891553,,1.393941
24685506,2026-03-18 16:16:47,15075521,60000000,295451148,179,1182011945,,1.477463
24685507,2026-03-18 16:16:59,59892388,60000000,277078422,865,370151843,,0.64723
24685508,2026-03-18 16:17:11,29874048,60000000,311588987,367,570964186,,0.882553
24685509,2026-03-18 16:17:23,29623730,60000000,311425466,298,560980129,,0.872406
24685510,2026-03-18 16:17:35,28801382,60000000,310937216,316,553060164,,0.863997
24685511,2026-03-18 16:17:47,33155496,60000000,309384321,403,435593890,,0.744978
